regime,level,target,mean,ci_lo,ci_hi,n
R1_fed,cutting,corr_SPY_GLD,0.015304698842344987,-0.004359986573489887,0.0335470467095644,722
R1_fed,cutting,corr_SPY_BTC,0.3240740571729279,0.2997333708834659,0.34616422192698654,407
R1_fed,cutting,corr_SPY_WTI,0.13858164548424562,0.12517494189913336,0.15199021047651728,678
R1_fed,cutting,corr_SPY_DBC,0.26999777461351643,0.2517641304023551,0.28797486217660284,722
R1_fed,hiking,corr_SPY_GLD,0.12824782174604912,0.11177058330886065,0.14467426284538307,888
R1_fed,hiking,corr_SPY_BTC,0.41547277642162167,0.40025349217982126,0.4310242669011529,504
R1_fed,hiking,corr_SPY_WTI,0.07241764051566175,0.061818883102344194,0.08273894884276833,1078
R1_fed,hiking,corr_SPY_DBC,0.3069217654051217,0.29374741208476995,0.320091089214988,579
R1_fed,neutral,corr_SPY_GLD,0.03749458392853175,0.03027030501996703,0.044794679837799556,5015
R1_fed,neutral,corr_SPY_BTC,0.13677509787334802,0.13002599612924362,0.14329475995049515,3233
R1_fed,neutral,corr_SPY_WTI,0.2648206100162983,0.25817712291593625,0.271843493143982,5004
R1_fed,neutral,corr_SPY_DBC,0.344732774946145,0.3381475524153996,0.3513320005218623,5014
R2_inf,high,corr_SPY_GLD,0.07655610549073943,0.06075067318191876,0.09295385625643736,1167
R2_inf,high,corr_SPY_BTC,0.41497063672253165,0.40294494571350276,0.4267802787021859,586
R2_inf,high,corr_SPY_WTI,0.1481189707699392,0.13531691069778126,0.16111674639777301,1167
R2_inf,high,corr_SPY_DBC,0.23183904669208036,0.21805107719277514,0.2469718731788855,1020
R2_inf,low,corr_SPY_GLD,-0.019321624317902353,-0.02708378985116338,-0.01157044448866578,3782
R2_inf,low,corr_SPY_BTC,0.11648654922937975,0.10877629848283071,0.12448133614463394,2690
R2_inf,low,corr_SPY_WTI,0.2848650025732219,0.2779913225161651,0.2919062682401138,3691
R2_inf,low,corr_SPY_DBC,0.36473919699518764,0.3577726873709886,0.3719405396710855,3782
R2_inf,moderate,corr_SPY_GLD,0.17703031309001505,0.16521574663098335,0.18921658942447608,1676
R2_inf,moderate,corr_SPY_BTC,0.2614846791059655,0.2512625816150119,0.2710695297080387,868
R2_inf,moderate,corr_SPY_WTI,0.1677802776323683,0.156230404138204,0.17914499869065506,1741
R2_inf,moderate,corr_SPY_DBC,0.3206984523190837,0.3091081675017697,0.3323313572292184,1513
R2_inf,nan,corr_SPY_GLD,,,,0
R2_inf,nan,corr_SPY_BTC,,,,0
R2_inf,nan,corr_SPY_WTI,-0.11931752862407267,-0.13243652633068995,-0.10607536869313383,161
R2_inf,nan,corr_SPY_DBC,,,,0
R3_dxy,neutral,corr_SPY_GLD,0.02165657296921024,0.01218104555088212,0.031036677947957253,3175
R3_dxy,neutral,corr_SPY_BTC,0.16655255804648147,0.15817749973735737,0.17499419543091682,2370
R3_dxy,neutral,corr_SPY_WTI,0.21250937218481936,0.20455812818785912,0.22006128956001417,3195
R3_dxy,neutral,corr_SPY_DBC,0.3134643901957068,0.3058925069842562,0.3213399713186648,3072
R3_dxy,strengthening,corr_SPY_GLD,0.04889770648106315,0.03774593800940282,0.0599278855639128,1749
R3_dxy,strengthening,corr_SPY_BTC,0.20483353634746548,0.1876413653805124,0.22180154944449543,956
R3_dxy,strengthening,corr_SPY_WTI,0.2378044532179444,0.22584042471910745,0.24929122243262392,1748
R3_dxy,strengthening,corr_SPY_DBC,0.35604264611988096,0.34308469039778255,0.36893411521231906,1590
R3_dxy,weakening,corr_SPY_GLD,0.09329082237720722,0.07984471505119173,0.10664647295820229,1701
R3_dxy,weakening,corr_SPY_BTC,0.2358678345868887,0.22292928894791142,0.2480637401411526,818
R3_dxy,weakening,corr_SPY_WTI,0.2215395026308718,0.20948829624051843,0.23357446392731074,1817
R3_dxy,weakening,corr_SPY_DBC,0.3460773230542488,0.33423778628522494,0.3577380954381851,1653
R4_shock,growth_shock,corr_SPY_GLD,0.044950520379831604,0.015138693849825267,0.07391925737455003,252
R4_shock,growth_shock,corr_SPY_BTC,0.47221737536828,0.4452228955195794,0.4975114929128002,108
R4_shock,growth_shock,corr_SPY_WTI,0.32918403130641744,0.3066832741573381,0.3517829121356549,237
R4_shock,growth_shock,corr_SPY_DBC,0.5072003995308549,0.482569238146277,0.5338650052782072,252
R4_shock,normal,corr_SPY_GLD,0.04733122007540152,0.0408648037051699,0.05380611835032633,6373
R4_shock,normal,corr_SPY_BTC,0.1814893051215656,0.17515742990721025,0.1880819961823462,4036
R4_shock,normal,corr_SPY_WTI,0.2175640486304059,0.21182187048336495,0.22339293755658332,6523
R4_shock,normal,corr_SPY_DBC,0.32546952471362695,0.31968407825658407,0.3314205350034715,6063
R5_crisis,COVID,corr_SPY_GLD,-0.0879632108971163,-0.14679638155084213,-0.030366663634032634,90
R5_crisis,COVID,corr_SPY_BTC,0.2647864952346208,0.21478497721654569,0.3143490501731139,90
R5_crisis,COVID,corr_SPY_WTI,0.36539151063756575,0.3263012433007149,0.4028526728343913,79
R5_crisis,COVID,corr_SPY_DBC,0.5797208612146469,0.5425872296878107,0.6160461852595733,90
R5_crisis,CURRENT,corr_SPY_GLD,0.16969321760775719,0.16139041898025142,0.17767982833846538,171
R5_crisis,CURRENT,corr_SPY_BTC,0.5111441919883575,0.502059320845307,0.519765044105729,171
R5_crisis,CURRENT,corr_SPY_WTI,-0.010407612398719228,-0.04256480446239982,0.02073148701937468,171
R5_crisis,CURRENT,corr_SPY_DBC,0.1487615331928725,0.11398413394618215,0.18107084573415277,171
R5_crisis,GFC,corr_SPY_GLD,0.017244411253444312,-0.009027938535543444,0.042841342222986384,397
R5_crisis,GFC,corr_SPY_BTC,,,,0
R5_crisis,GFC,corr_SPY_WTI,0.09309536830609852,0.07240259178111723,0.11532696095671781,397
R5_crisis,GFC,corr_SPY_DBC,0.2025558561991105,0.17700172884032703,0.23000587878207268,397
R5_crisis,INFL2022,corr_SPY_GLD,0.03743694740228832,0.006737668132790568,0.07004851744522204,304
R5_crisis,INFL2022,corr_SPY_BTC,0.49619418359910894,0.48752654988755834,0.5046921896651325,304
R5_crisis,INFL2022,corr_SPY_WTI,0.11538995086192068,0.08875329519534945,0.1417961924387153,304
R5_crisis,INFL2022,corr_SPY_DBC,0.17088622294387157,0.1394412799043456,0.20152355479192113,304
R5_crisis,TARIFF25,corr_SPY_GLD,0.17370605685896273,0.14654641285959402,0.20011441039920602,92
R5_crisis,TARIFF25,corr_SPY_BTC,0.3524557598216644,0.34303660562878724,0.36085614169159413,92
R5_crisis,TARIFF25,corr_SPY_WTI,0.41385608825913245,0.35908825345275563,0.46585257182786544,92
R5_crisis,TARIFF25,corr_SPY_DBC,0.5090257625617075,0.4568320416897685,0.558771947194814,92
R5_crisis,normal,corr_SPY_GLD,0.04625035450316421,0.038807088474358035,0.05345067635944457,5571
R5_crisis,normal,corr_SPY_BTC,0.14023083134257694,0.13349391992792614,0.146683420949095,3487
R5_crisis,normal,corr_SPY_WTI,0.2378849939856895,0.23148534714763627,0.24426311089025382,5717
R5_crisis,normal,corr_SPY_DBC,0.35056617990753375,0.3447822567498821,0.35656868973327277,5261
